2020,1,1,0,30,-83
2020,1,1,0,26,-70
2020,1,1,0,8,61
2020,1,1,0,36,-27
2020,1,1,1,21,52
2020,1,1,1,55,-19
2020,1,1,2,4,-48
2020,1,1,2,13,-56
2020,1,1,3,34,21
2020,1,1,4,38,44
2020,1,1,5,39,-16
2020,1,1,6,0,-76
2020,1,1,7,5,-64
2020,1,1,7,42,-25
2020,1,1,7,57,73
2020,1,1,8,49,6
2020,1,1,9,32,-94
2020,1,1,10,50,-43
2020,1,1,11,57,-96
2020,1,1,11,59,7
2020,1,2,0,1,32
2020,1,2,1,16,38
2020,1,2,1,54,50
2020,1,2,2,10,-19
2020,1,2,2,17,-80
2020,1,2,3,25,19
2020,1,2,3,25,16
2020,1,2,3,26,70
2020,1,2,3,53,22
2020,1,2,4,21,27
2020,1,2,4,48,-56
2020,1,2,5,0,15
2020,1,2,5,17,58
2020,1,2,6,5,-30
2020,1,2,6,28,-31
2020,1,2,6,52,-85
2020,1,2,6,57,91
2020,1,2,8,4,-44
2020,1,2,8,22,-91
2020,1,2,8,34,-97
2020,1,2,8,46,13
2020,1,2,9,1,-32
2020,1,2,9,22,1
2020,1,2,9,41,-22
2020,1,2,10,17,2
2020,1,2,10,25,71
2020,1,2,10,26,5
2020,1,2,11,12,53
2020,1,2,11,23,25
2020,1,2,11,46,47
2020,1,2,11,50,-96
2020,1,3,0,2,42
2020,1,3,1,1,17
2020,1,3,1,4,90
2020,1,3,1,18,47
2020,1,3,1,33,-38
2020,1,3,1,49,-14
2020,1,3,2,13,-42
2020,1,3,2,19,98
2020,1,3,3,6,52
2020,1,3,3,13,-79
2020,1,3,3,14,54
2020,1,3,3,32,52
2020,1,3,3,37,99
2020,1,3,3,51,-43
2020,1,3,4,26,32
2020,1,3,5,6,-81
2020,1,3,5,8,91
2020,1,3,5,11,-83
2020,1,3,5,19,24
2020,1,3,5,43,90
2020,1,3,6,38,63
2020,1,3,6,42,-83
2020,1,3,9,1,55
2020,1,3,9,4,-32
2020,1,3,10,15,-7
2020,1,3,11,7,28
2020,1,3,11,40,96
2020,1,4,0,12,75
2020,1,4,0,51,-37
2020,1,4,0,5,52
2020,1,4,0,34,75
2020,1,4,1,3,1
2020,1,4,1,20,-50
2020,1,4,2,13,-38
2020,1,4,2,19,9
2020,1,4,4,30,-35
2020,1,4,4,34,49
2020,1,4,5,21,-86
2020,1,4,5,31,-36
2020,1,4,5,33,10
2020,1,4,5,52,-67
2020,1,4,5,58,20
2020,1,4,6,33,90
2020,1,4,6,38,-40
2020,1,4,7,38,36
2020,1,4,7,39,-12
2020,1,4,8,29,20
